cz,population,stateabbrv,state_id,total_exposure_effect_p25,african_american_share,poor_share,racial_segregation,income_segregation,gini99,school_exp_pc,dropout_r,singleparent_share,median_house_value,perm_res_rank_p25
100,576081,"TN","Tennessee",-8.322355,.0208408,.14045,.0903837,.0348657,.33345,5.1845472,-.0152656,.1898032,113443.3433,42.26698
200,227816,"TN","Tennessee",-.8678237,.0197791,.1461972,.093153,.0262809,.32828,4.5058856,-.0235207,.185106,122933.19,42.64955
301,66708,"TN","Tennessee",8.569037,.0146459,.270661,.0642501,.0240811,.33404,5.614119,-.0046291,.2110027,82250.72537,42.44334
302,727600,"TN","Tennessee",-1.098794,.0563648,.1300672,.2099943,.0921036,.35752,4.8998462,-.0110711,.2056023,126013.1016,42.00761
401,493180,"NC","North Carolina",-8.853184,.173531,.1080807,.262388,.0718667,.34636,5.4626763,.0229661,.2204709,143681.8974,40.24208
402,92753,"VA","Virginia",-9.404085,.2238095,.132409,.1365256,.0237311,.33768,5.7398601,,.2408851,99081.31936,41.30234
500,1055133,"NC","North Carolina",-6.939209,.2175593,.1117546,.220065,.0676532,.3413,5.0077963,.0155281,.2366055,136818.2934,39.23018
601,90016,"NC","North Carolina",4.734275,.0319277,.1228724,.1140964,.0118961,.31958,5.2960907,.0210332,.1652012,119797.407,42.56459
602,64676,"VA","Virginia",-21.70887,.0289597,.1420254,.1311975,.0054097,.26915,5.3766793,,.1668024,95959.00743,45.66618
700,354533,"SC","South Carolina",-4.669636,.2074983,.1257592,.1394965,.0451206,.34069,5.4214951,,.246103,116802.482,39.83393
800,413331,"NC","North Carolina",-8.037956,.1377782,.1161881,.1336746,.0380789,.31426,5.2506508,.0295279,.2139188,118714.9002,39.19394
900,1423942,"NC","North Carolina",-4.956286,.2273302,.0964086,.2233193,.0983462,.36011,5.673504,.0229497,.2192885,165916.779,39.01054
