cz,czname
100,"Johnson City"
200,"Morristown"
301,"Middlesborough"
302,"Knoxville"
401,"Winston-Salem"
402,"Martinsville"
500,"Greensboro"
601,"North Wilkesboro"
602,"Galax"
700,"Spartanburg"
800,"Gastonia"
900,"Charlotte"
1001,"Boone"
1002,"Morganton"
1100,"Hickory"
1201,"Franklin"
1202,"Sylva"
1203,"Asheville"
1204,"Andrews"
1301,"Bennettsville"
1302,"Florence"
1400,"Fayetteville"
1500,"Wilmington"
1600,"Wilson"
1701,"Raleigh"
1702,"Henderson"
1800,"Goldsboro"
1900,"Jacksonville"
2000,"Virginia Beach"
2100,"Washington"
2200,"South Boston"
2300,"Lynchburg"
2400,"Richmond"
2500,"Newport News"
2600,"Roanoke Rapids"
2700,"Gulfport"
2800,"Laurel"
2900,"Hattiesburg"
3001,"Kosciusko"
3002,"Yazoo City"
3003,"Jackson"
3101,"McComb"
3102,"Brookhaven"
3201,"Jena"
3202,"Natchez"
3203,"Vicksburg"
3300,"New Orleans"
3400,"Houma"
3500,"Baton Rouge"
3600,"Alexandria"
3700,"Lake Charles"
3800,"Lafayette"
3901,"Monroe"
3902,"Lake Providence"
4001,"Magnolia"
4002,"Shreveport"
4003,"Ruston"
4004,"Many"
4101,"Crossett"
4102,"Pine Bluff"
4103,"El Dorado"
4200,"Little Rock"
4301,"Stuttgart"
4302,"Searcy"
4401,"London"
4402,"Richmond"
4501,"West Liberty"
4502,"Hazard"
4601,"Campbellsville"
4602,"Somerset"
4701,"Greenwood"
4702,"Clarksdale"
4800,"Greenville"
4901,"Jackson"
4902,"Dyersburg"
4903,"Lexington"
5000,"Tupelo"
5100,"Corinth"
5201,"New Albany"
5202,"Memphis"
5300,"West Memphis"
5401,"Bowling Green"
5402,"Glasgow"
5500,"Columbia"
5600,"Nashville"
5700,"Tullahoma"
5800,"Dickson"
5900,"Clarksville"
6000,"Huntsville"
6100,"Gadsden"
6200,"Florence"
6301,"McMinnville"
6302,"Cookeville"
6401,"Chattanooga"
6402,"Crossville"
6501,"Ellijay"
6502,"Cleveland"
6600,"Rome"
6700,"Tampa"
6800,"Lakeland"
6900,"Sarasota"
7000,"Miami"
7100,"Port St. Lucie"
7200,"Cape Coral"
7300,"Palm Bay"
7400,"Orlando"
7500,"Deltona"
7600,"Jacksonville"
7700,"Lake City"
7800,"Ocala"
7900,"Gainesville"
8000,"Sumter"
8100,"Columbia"
8201,"Barnwell"
8202,"Charleston"
8300,"Greenville"
8401,"Aiken"
8402,"Washington"
8501,"Fitzgerald"
8502,"Cordele"
8503,"Valdosta"
8601,"Waycross"
8602,"Brunswick"
8701,"Hinesville"
8702,"Statesboro"
8800,"Savannah"
8900,"Macon"
9001,"Vidalia"
9002,"Milledgeville"
9003,"Dublin"
9100,"Atlanta"
9200,"Griffin"
9301,"Winder"
9302,"Toccoa"
9400,"Gainesville"
9500,"Talladega"
9600,"LaGrange"
9701,"Columbus"
9702,"Americus"
9800,"Auburn"
9900,"Tallahassee"
10000,"Panama City"
10101,"Bainbridge"
10102,"Thomasville"
10200,"Albany"
10301,"Eufaula"
10302,"Dothan"
10400,"Meridian"
10501,"Columbus"
10502,"Starkville"
10600,"Jasper"
10700,"Birmingham"
10801,"Tuscaloosa"
10802,"Demopolis"
10900,"Pensacola"
11001,"Mobile"
11002,"Atmore"
11101,"Montgomery"
11102,"Troy"
11201,"Bluefield"
11202,"Welch"
11203,"Big Stone Gap"
11301,"Fredericksburg"
11302,"Baltimore"
11303,"Colonial Beach"
11304,"Washington DC"
11401,"Marquette"
11402,"Marinette"
11403,"Sault Ste. Marie"
11500,"Jackson"
11600,"Detroit"
11700,"Lansing"
11800,"Mount Pleasant"
11900,"Saginaw"
12001,"Big Rapids"
12002,"Ludington"
12100,"Kalamazoo"
12200,"Grand Rapids"
12301,"Traverse City"
12302,"Petoskey"
12401,"Alpena"
12402,"Grayling charter"
12501,"Dayton"
12502,"Washington Court House"
12600,"Wayne"
12701,"Cincinnati"
12702,"Maysville"
12800,"Washington"
12901,"Lexington-Fayette"
12902,"Mount Sterling"
12903,"Danville"
13000,"Elizabethtown"
13101,"Louisville"
13102,"Madison"
13103,"Bardstown"
13200,"Owensboro"
13300,"Findlay"
13400,"Lima"
13501,"Toledo"
13502,"Defiance"
13600,"South Bend"
13700,"Concord"
13800,"Wayne"
13900,"Center"
14000,"Muncie"
14100,"Fort Wayne"
14200,"Indianapolis"
14300,"Columbus"
14400,"Terre Haute"
14500,"Lafayette"
14600,"Bloomington"
14700,"Evansville"
14801,"Olney"
14802,"Vincennes"
14900,"Gary"
15000,"Canton"
15100,"Lorain"
15200,"Cleveland"
15300,"Parkersburg"
15400,"Zanesville"
15500,"Steubenville"
15600,"Wheeling"
15700,"Scioto"
15800,"Athens"
15900,"Columbus"
16000,"Mansfield"
16100,"State College"
16200,"Altoona"
16300,"Pittsburgh"
16400,"Youngstown"
16500,"Erie"
16600,"Roanoke"
16701,"Elkins"
16702,"Morgantown"
16703,"Buckhannon"
16801,"Beckley"
16802,"Summersville"
16901,"Charleston"
16902,"Spencer"
17000,"Pikeville"
17100,"Huntington"
17200,"Harrisonburg"
17300,"Staunton"
17400,"Hagerstown"
17501,"Cumberland"
17502,"Winchester"
17600,"Charlottesville"
17700,"Syracuse"
17800,"Oneonta"
17900,"Union"
18000,"Buffalo"
18100,"Elmira"
18201,"Olean"
18202,"St. Marys"
18300,"Watertown"
18400,"Plattsburgh"
18500,"Amsterdam"
18600,"Albany"
18700,"Sunbury"
18800,"Scranton"
18900,"Williamsport"
19000,"Allentown"
19100,"Reading"
19200,"Harrisburg"
19300,"Poughkeepsie"
19400,"New York"
19500,"Toms River"
19600,"Newark"
19700,"Philadelphia"
19800,"Wilmington"
19901,"Dover"
19902,"Easton"
19903,"Chincoteague"
20001,"Bangor"
20002,"Calais"
20003,"Presque Isle"
20100,"Portland"
20200,"Burlington"
20301,"Berlin"
20302,"Claremont"
20401,"Providence"
20402,"Nantucket"
20403,"Oak Bluffs"
20500,"Boston"
20600,"Manchester"
20700,"Keene"
20800,"Springfield"
20901,"Bridgeport"
20902,"Pittsfield"
21001,"Ashland"
21002,"Houghton"
21003,"Ironwood"
21004,"Rhinelander"
21101,"Rice Lake"
21102,"Amery"
21201,"Hutchinson"
21202,"Redwood Falls"
21301,"Mankato"
21302,"Owatonna"
21400,"St. Cloud"
21501,"Minneapolis"
21502,"Pine City"
21600,"Brainerd"
21701,"Rochester"
21702,"Austin"
21801,"Mason City"
21802,"Decorah"
21900,"Marshalltown"
22001,"Waterloo"
22002,"Iowa Falls"
22100,"Iowa City"
22200,"Cedar Rapids"
22300,"Ottumwa"
22400,"Sheboygan"
22500,"Oshkosh"
22601,"Green Bay"
22602,"Shawano"
22700,"Wausau"
22800,"Eau Claire"
22900,"La Crosse"
23000,"Monroe"
23100,"Madison"
23200,"Dubuque"
23301,"Charleston"
23302,"Douglas"
23400,"Bloomington"
23500,"Decatur"
23600,"Burlington"
23700,"Galesburg"
23801,"Davenport"
23802,"Clinton"
23900,"Peoria"
24000,"Kenosha"
24100,"Milwaukee"
24200,"Bourbonnais"
24300,"Chicago"
24400,"Rockford"
24500,"Rolla"
24600,"Farmington"
24701,"St. Louis"
24702,"Mexico"
24801,"Jacksonville"
24802,"Springfield"
24900,"Edwardsville"
25000,"Quincy"
25101,"Mountain Home"
25102,"West Plains"
25103,"Harrison"
25104,"Heber Springs"
25105,"Batesville"
25200,"Henderson"
25300,"Union City"
25401,"Paducah"
25402,"Murray"
25500,"Centralia"
25601,"Carbondale"
25602,"Harrisburg"
25701,"Cape Girardeau"
25702,"Poplar Bluff"
25800,"Blytheville"
25900,"Jonesboro"
26001,"Roseau"
26002,"Duluth"
26003,"West Cook UT"
26004,"International Falls"
26101,"Moberly"
26102,"Marshall"
26103,"Brookfield"
26104,"Trenton"
26105,"Polk"
26106,"Centerville"
26107,"Kirksville"
26201,"Bismarck"
26202,"East Grant UT"
