cz,czname,population,stateabbrv,state_id,total_exposure_effect_p25,african_american_share,poor_share,racial_segregation,income_segregation,gini99,school_exp_pc,dropout_r,singleparent_share,median_house_value,perm_res_rank_p25,dif_rank,no_rank,cz_name_state,last_five
27605,Mission,11133,SD,South Dakota,,.0007186,.4600293,.1019549,.0026705,.32591999,5.5463548,,.39097741,36112.715,27.30345,-16.736231,1,"Mission,SD",0
27704,Gordon,22238,SD,South Dakota,,.0010343,.39328581,.48594069,.034226902,.27124,6.7311873,-.0064431001,.318266,47964.855,32.074871,-11.964809,2,"Gordon,SD",0
27602,Eagle Butte,8491,SD,South Dakota,,.0002355,.38454211,.17697939,.0337856,.26245999,6.7209902,.0640615,.32174689,48833.195,32.955921,-11.083759,3,"Eagle Butte,SD",0
4800,Greenville,146833,MS,Mississippi,5.969254,.65832609,.31014341,.21847241,.046403501,.41330001,4.3444095,.0111936,.43368131,72728.477,34.050079,-9.9896011,4,"Greenville,MS",0
26603,East Corson UT,8225,SD,South Dakota,,.00060789997,.40128171,.2337092,.0135305,.30741999,6.8534026,.099252596,.34390989,42377.246,34.14418,-9.8955002,5,"East Corson UT,SD",0
26412,Williston,24286,ND,North Dakota,,.00086470001,.1247643,.091669403,.0144765,.24812999,5.0929871,-.033545598,.186773,67151.086,63.029129,18.989449,6,"Williston,ND",1
26203,Linton,10029,ND,North Dakota,,.00039880001,.1734003,.0092598004,.0019374,.21628,5.6651244,-.0428508,.086174197,42762.004,63.389832,19.350151,7,"Linton,ND",1
27201,Sioux Center,58454,IA,Iowa,34.367641,.0019502999,.067822799,.047405701,.0066681998,.19772001,6.0030117,-.0308979,.082083397,96923.602,63.730259,19.690578,8,"Sioux Center,IA",1
26402,Baker,2837,MT,Montana,,.0014099,.12517931,0,0,,7.3059897,,.1092896,63984,64.026466,19.986786,9,"Baker,MT",1
26403,Bowman,4009,ND,North Dakota,,.00024940001,.099209398,.0151796,.0058237002,,5.7717791,,.081761003,65282.395,66.642433,22.602753,10,"Bowman,ND",1
