
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)"
="",="total_exposure_effect_p25",="perm_res_rank_p25",="total_exposure_effect_p25",="perm_res_rank_p25",="total_exposure_effect_p25",="perm_res_rank_p25",="total_exposure_effect_p25",="perm_res_rank_p25",="total_exposure_effect_p25",="perm_res_rank_p25",="total_exposure_effect_p25",="perm_res_rank_p25",="total_exposure_effect_p25",="perm_res_rank_p25",="total_exposure_effect_p25",="perm_res_rank_p25",="total_exposure_effect_p25",="perm_res_rank_p25",="total_exposure_effect_p25",="perm_res_rank_p25",="total_exposure_effect_p25",="perm_res_rank_p25",="total_exposure_effect_p25",="perm_res_rank_p25",="total_exposure_effect_p25",="perm_res_rank_p25",="total_exposure_effect_p25",="perm_res_rank_p25",="total_exposure_effect_p25",="perm_res_rank_p25",="total_exposure_effect_p25",="perm_res_rank_p25",="total_exposure_effect_p25",="perm_res_rank_p25",="total_exposure_effect_p25",="perm_res_rank_p25"

="Standardized values of (african_american_share)     ",="-3.032***",="-3.561***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-3.032***",="-3.561***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(-7.89)",="(-26.33)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-5.56)",="(-10.81)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="Standardized values of (poor_share)     ",="",="",="-0.619",="-1.985***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.619",="-1.985***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-1.22)",="(-9.52)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.66)",="(-3.64)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="Standardized values of (racial_segregation)     ",="",="",="",="",="-1.728**",="-2.015***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-1.728***",="-2.015***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-3.30)",="(-10.76)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-3.67)",="(-8.48)",="",="",="",="",="",="",="",="",="",="",="",=""

="Standardized values of (income_segregation)     ",="",="",="",="",="",="",="-2.477***",="-1.883***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-2.477***",="-1.883***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-5.67)",="(-10.33)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-3.83)",="(-5.86)",="",="",="",="",="",="",="",="",="",=""

="Standardized values of (gini99)     ",="",="",="",="",="",="",="",="",="-3.384***",="-3.731***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-3.384***",="-3.731***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-6.93)",="(-23.40)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-4.17)",="(-8.72)",="",="",="",="",="",="",="",=""

="Standardized values of (school_exp_pc)     ",="",="",="",="",="",="",="",="",="",="",="1.442**",="1.070***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="1.442",="1.070*",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(2.71)",="(5.59)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.81)",="(2.16)",="",="",="",="",="",=""

="Standardized values of (dropout_r)     ",="",="",="",="",="",="",="",="",="",="",="",="",="-2.904***",="-2.815***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-2.904**",="-2.815***",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-4.81)",="(-11.64)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-2.99)",="(-5.82)",="",="",="",=""

="Standardized values of (singleparent_share)     ",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-3.349***",="-4.223***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-3.349***",="-4.223***",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-6.43)",="(-25.67)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-4.15)",="(-10.62)",="",=""

="Standardized values of (median_house_value)     ",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-1.958***",="-0.526*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-1.958**",="-0.526"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-4.34)",="(-2.58)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-2.80)",="(-1.29)"

="Observations",="595",="595",="595",="595",="595",="595",="595",="595",="595",="595",="593",="593",="492",="492",="595",="595",="595",="595",="595",="595",="595",="595",="595",="595",="595",="595",="595",="595",="593",="593",="492",="492",="595",="595",="595",="595"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
