"GEO/TIME"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"
"European Union (28 countries)"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"1.8"	"1.7"	"1.7"	":"
"European Union (27 countries)"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"1.8"	"1.8"	"1.7"	":"
"European Union (25 countries)"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"1.7"	"1.8"	"1.9"	"1.9"	"1.8"	"1.8"	"1.7"	":"
"Euro area (19 countries)"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"1.5"	"1.6"	"1.7"	"1.7"	"1.6"	"1.6"	"1.6"	":"
"Euro area (18 countries)"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"1.5"	"1.6"	"1.7"	"1.7"	"1.6"	"1.6"	"1.6"	":"
"Euro area (17 countries)"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"1.5"	"1.5"	"1.6"	"1.7"	"1.7"	"1.6"	"1.6"	"1.6"	":"
"Euro area (16 countries)"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"1.5"	"1.5"	"1.6"	"1.7"	"1.7"	"1.6"	"1.6"	"1.6"	":"
"Euro area (15 countries)"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"1.5"	"1.5"	"1.6"	"1.7"	"1.7"	"1.6"	"1.6"	"1.6"	":"
"Euro area (13 countries)"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"1.5"	"1.5"	"1.6"	"1.7"	"1.7"	"1.6"	"1.6"	"1.6"	":"
"Euro area (12 countries)"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"1.5"	"1.5"	"1.6"	"1.7"	"1.7"	"1.6"	"1.6"	"1.6"	":"
"Belgium"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"2.2"	"2.2"	"2.2"	"2.1"	"2"	"2"	"2.1"	"2.2"	"2.4"	"2.3"	"2.4"	"2.4"	"2.4"	":"
"Bulgaria"	":"	":"	":"	":"	":"	":"	":"	":"	".7"	".8"	"1.2"	"1.1"	"3.2"	"1.1"	"1"	"1"	"1"	"1.5"	"1.2"	"2.4"	"2.5"	"2.3"	"2.3"	"2.4"	":"
"Czech Republic"	":"	":"	":"	":"	":"	".9"	".3"	"1.3"	"1.3"	"1.3"	"1.1"	"1.2"	"1.2"	"1.1"	"1.1"	"1.1"	"1.1"	"1.6"	"1.4"	"1.5"	"1.5"	"1.3"	"1.3"	"1.3"	":"
"Denmark"	":"	":"	":"	":"	":"	"4.6"	"4.9"	"4.9"	"5"	"5"	"4.9"	"5.1"	"5"	"5.3"	"5.1"	"5"	"5"	"4.8"	"4.9"	"5.5"	"5.4"	"5.2"	"5"	"5"	"4.9"
"Germany (until 1990 former territory of the FRG)"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"1.4"	"1.4"	"1.4"	"1.5"	"1.5"	"1.5"	"1.4"	"1.4"	"1.4"	"1.7"	"1.7"	"1.6"	"1.6"	"1.6"	":"
